Store_ID,City,Store_Area_sqft,Marketing_Spend_Lakhs,No_of_Promotions,Avg_Footfall_per_Day,Monthly_Sales_Lakhs
STR071,Hyderabad,2784,3.42,5,247,19.79
STR072,Mumbai,2439,2.84,3,169,18.73
STR073,Delhi,1626,6.16,12,445,29.74
STR074,Bangalore,2628,1.37,9,161,14.37
STR075,Hyderabad,1354,9.01,6,548,32.14
STR076,Bangalore,1871,4.89,12,295,18.11
STR077,Mumbai,2251,4.73,1,385,21.23
STR078,Delhi,2420,1.49,11,250,14.79
STR079,Delhi,2167,7.01,10,463,28.68
STR080,Delhi,2643,8.26,9,453,36.09
STR081,Mumbai,2030,6.48,2,457,24.14
STR082,Bangalore,2998,2.8,2,263,17.5
STR083,Bangalore,1428,7.96,12,567,36.86
STR084,Hyderabad,2525,1.88,12,171,10.58
STR085,Hyderabad,1593,8.36,5,550,38.13
STR086,Bangalore,1342,6.02,2,386,25.86
STR087,Bangalore,1930,3.25,10,186,10.93
STR088,Hyderabad,2829,5.38,3,422,26.86
STR089,Pune,2694,6.47,10,476,32.24
STR090,Chennai,1561,2.96,12,303,16.34
STR091,Hyderabad,1048,8.55,7,555,35.17
STR092,Pune,1243,4.5,10,332,15.62
STR093,Mumbai,955,8.98,10,600,36.98
STR094,Pune,1618,8.44,2,523,35.83
STR095,Delhi,1202,1.44,3,190,17.98
STR096,Bangalore,2699,6.64,2,384,28.39
STR097,Hyderabad,1329,3.45,6,298,17.32
STR098,Chennai,852,7.66,12,528,29.76
STR099,Mumbai,2340,5.66,7,391,22.47
STR100,Chennai,2045,4.85,3,320,24.87
STR101,Mumbai,1413,9.01,7,485,35.56
STR102,Delhi,1566,1.04,9,80,6.38
STR103,Hyderabad,1023,5.79,2,349,25
STR104,Bangalore,2394,3.62,7,158,22.66
STR105,Chennai,1726,0.84,1,98,3
STR106,Hyderabad,2072,7.66,1,584,33.66
STR107,Hyderabad,920,5.84,6,353,27.51
STR108,Hyderabad,2927,8.99,2,498,30.83
STR109,Mumbai,2268,6.18,8,462,24.47
STR110,Bangalore,2948,3.7,5,242,20.1
STR111,Bangalore,844,9.86,3,688,47.13
STR112,Mumbai,2477,1.6,7,176,7.46
STR113,Bangalore,2842,1,5,122,12.84
STR114,Chennai,1280,7.46,2,548,24.79
STR115,Hyderabad,1131,4.02,8,367,20.39
STR116,Pune,1035,3.93,4,274,15.36
STR117,Mumbai,2017,8.83,1,571,32.98
STR118,Delhi,1543,3.61,9,300,17.61
STR119,Chennai,1190,8.95,2,513,38.7
STR120,Mumbai,1367,6.62,7,561,28.7
STR121,Delhi,1790,3.63,11,341,12.75
STR122,Bangalore,1594,1.07,1,207,9.41
STR123,Mumbai,1622,2.83,10,269,18.44
STR124,Hyderabad,1299,9.7,1,661,34.56
STR125,Hyderabad,2783,4.35,8,324,19.94
STR126,Mumbai,2786,2.02,4,239,16.05
STR127,Bangalore,2485,3.33,12,254,21.63
STR128,Hyderabad,1036,9.05,11,587,37.23
STR129,Pune,2538,2.07,4,245,5.17
STR130,Delhi,1489,7.89,3,711,31.72
STR131,Mumbai,2546,1.78,3,172,8.68
STR132,Pune,1768,9.63,10,701,42.36
STR133,Pune,2413,5.54,1,384,23.19
STR134,Mumbai,2917,0.91,10,89,5.8
STR135,Bangalore,1206,9.34,6,608,36.03
STR136,Chennai,1352,3.9,1,302,19.88
STR137,Hyderabad,1741,7.45,12,477,26.2
STR138,Mumbai,2880,5.48,3,410,23.53
STR139,Chennai,2004,1.38,11,177,5.87
STR140,Hyderabad,1171,1.51,11,199,10.73
STR141,Bangalore,1700,1.92,4,257,7.86
STR142,Mumbai,876,2.03,11,180,7.33
STR143,Mumbai,1826,1,6,130,13.66
STR144,Delhi,2639,0.95,12,102,10.38
STR145,Hyderabad,2614,9.51,10,601,39.62
STR146,Mumbai,1790,1.37,1,187,8.26
STR147,Mumbai,2678,5.33,9,518,25.85
STR148,Delhi,919,1.63,1,215,12.67
STR149,Mumbai,1237,2.54,8,201,18.4
STR150,Mumbai,1876,7.75,1,461,31.85
